"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"100","Wellstone (MN)","mr wellstone","Wellstone","MN","D",100,-1.08533163944874,-1.42037851561207,-0.750614952078346
"88","Sarbanes (MD)","mr sarbanes","Sarbanes","MD","D",88,-1.02118605018114,-1.52596460206857,-0.519941184663259
"10","Bradley (NJ)","mr bradley","Bradley","NJ","D",10,-0.866266215751021,-1.38506627769846,-0.344124999233258
"47","Harkin (IA)","mr harkin","Harkin","IA","D",47,-0.846556056387467,-1.36106091232754,-0.348483201799198
"32","Dorgan (ND)","mr dorgan","Dorgan","ND","D",32,-0.797422592273142,-1.21862948558043,-0.36065577203264
"60","Kennedy (MA)","mr kennedy","Kennedy","MA","D",60,-0.712075062103599,-1.06929752423639,-0.358018379919078
"40","Glenn (OH)","mr glenn","Glenn","OH","D",40,-0.688875464113472,-1.11104116079714,-0.277968261164946
"29","Dodd (CT)","mr dodd","Dodd","CT","D",29,-0.662934694593917,-1.06125652734336,-0.258323377284402
"85","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",85,-0.642781273139489,-1.17695982528578,-0.0942488480669265
"9","Boxer (CA)","mrs boxer","Boxer","CA","D",9,-0.633425139254849,-1.02101865177119,-0.236855063523543
"7","Bingaman (NM)","mr bingaman","Bingaman","NM","D",7,-0.620449375180833,-1.09557749990305,-0.150765999246046
"52","Hollings (SC)","mr hollings","Hollings","SC","D",52,-0.610122593197266,-1.30457986343852,0.132084780042604
"36","Feinstein (CA)","mrs feinstein","Feinstein","CA","D",36,-0.57464342723038,-1.14424507005379,0.0391239468111355
"64","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",64,-0.560591554557519,-0.955882252567823,-0.171879274523098
"61","Kerry (MA)","mr kerry","Kerry","MA","D",61,-0.558487778788525,-0.918744101459631,-0.19003362956739
"15","Bumpers (AR)","mr bumpers","Bumpers","AR","D",15,-0.552884474514702,-1.05381700501979,-0.0577831041407685
"12","Breaux (LA)","mr breaux","Breaux","LA","D",12,-0.527456390187447,-1.19989093772299,0.10105446418162
"90","Simon (IL)","mr simon","Simon","IL","D",90,-0.521116876560292,-0.868281562928472,-0.17491614201189
"73","Mikulski (MD)","ms mikulski","Mikulski","MD","D",73,-0.5042029539672,-0.944455326265658,-0.086400085599282
"76","Murray (WA)","mrs murray","Murray","WA","D",76,-0.462570257961222,-0.845243130673306,-0.0822694999473621
"27","Daschle (SD)","mr daschle","Daschle","SD","D",27,-0.461062040679538,-0.764837637194649,-0.156866709175007
"66","Levin (MI)","mr levin","Levin","MI","D",66,-0.448954814926239,-0.864119569558854,-0.0208313580720185
"14","Bryan (NV)","mr bryan","Bryan","NV","D",14,-0.448085489750179,-1.08065764480224,0.202355327114381
"23","Conrad (ND)","mr conrad","Conrad","ND","D",23,-0.439801719085986,-0.960646901766667,0.0760652216774844
"37","Ford (KY)","mr ford","Ford","KY","D",37,-0.419758909577684,-0.968927364596845,0.10808110393214
"13","Brown (OH)","mr brown","Brown","OH","D",13,-0.381749701537697,-1.00385926249595,0.222110487437799
"6","Biden (DE)","mr biden","Biden","DE","D",6,-0.367297594195553,-0.889391829413955,0.125916589784978
"62","Kohl (WI)","mr kohl","Kohl","WI","D",62,-0.364787994569866,-0.858546618489688,0.144315275455383
"11","Braun (IL)","ms moseley-braun","Braun","IL","D",11,-0.356149270858569,-0.851729250154211,0.152751680080156
"84","Robb (VA)","mr robb","Robb","VA","D",84,-0.322812888507401,-0.857685334249582,0.227961992330374
"80","Pell (RI)","mr pell","Pell","RI","D",80,-0.304903616357736,-0.769691112797904,0.169839278642014
"101","Wyden (OR)","mr wyden","Wyden","OR","D",101,-0.271777136951857,-1.01662304478251,0.429025674418735
"35","Feingold (WI)","mr feingold","Feingold","WI","D",35,-0.235641467310648,-0.642429832955085,0.187720323197323
"33","Exon (NE)","mr exon","Exon","NE","D",33,-0.19150192197143,-0.599585218594479,0.209961693458103
"65","Leahy (VT)","mr leahy","Leahy","VT","D",65,-0.180121641605019,-0.641982276207061,0.287870346847036
"56","Jeffords (VT)","mr jeffords","Jeffords","VT","I",56,-0.176428791387532,-0.707889225379828,0.372511438584117
"2","Akaka (HI)","mr akaka","Akaka","HI","D",2,-0.168422899070537,-1.07808063217247,0.862532895345212
"57","Johnston (LA)","mr johnston","Johnston","LA","D",57,-0.111474329201573,-0.798427785832447,0.575354003128907
"67","Lieberman (CT)","mr lieberman","Lieberman","CT","D",67,-0.0887090134774973,-0.668951654643535,0.494559345953218
"5","Bennet (CO)","mr bennett","Bennet","CO","D",5,-0.0637442988088459,-0.635092690589718,0.574926112249249
"82","Pryor (AR)","mr pryor","Pryor","AR","D",82,-0.00767628695808638,-0.681741206110553,0.663656298169283
"55","Inouye (HI)","mr inouye","Inouye","HI","D",55,0.00468497887370374,-0.611972382529602,0.68641536952174
"83","Reid (NV)","mr reid","Reid","NV","D",83,0.0197560430350012,-0.583207152200043,0.656549040118156
"78","Nunn (GA)","mr nunn","Nunn","GA","D",78,0.0810661179574184,-0.566046123428971,0.763498914392781
"91","Simpson (WY)","mr simpson","Simpson","WY","R",91,0.125285212309879,-0.506661094264802,0.540102151955391
"74","Moynihan (NY)","mr moynihan","Moynihan","NY","D",74,0.162699993481654,-1.14270473289441,1.47545283882027
"87","Santorum (PA)","mr santorum","Santorum","PA","R",87,0.205494870064095,-0.263261870438035,0.548327643836847
"44","Grams (MN)","mr grams","Grams","MN","R",44,0.215393162823466,-0.353348023316267,0.603495488751634
"4","Baucus (MT)","mr baucus","Baucus","MT","D",4,0.224394491606843,-0.364584416975148,0.828372973396935
"31","Domenici (NM)","mr domenici","Domenici","NM","R",31,0.224565107157523,-0.200789378018893,0.545190575144486
"58","Kassebaum (KS)","mrs kassebaum","Kassebaum","KS","R",58,0.241735668503176,-0.233279330741324,0.591560226516408
"30","Dole (CT)","mr dole","Dole","CT","R",30,0.29884911883883,-0.0703895896717252,0.589296019796133
"77","Nickles (OK)","mr nickles","Nickles","OK","R",77,0.315955301945554,-0.172735353494031,0.666105704006732
"28","DeWine (OH)","mr dewine","DeWine","OH","R",28,0.319644809016875,-0.0927752306366495,0.658738632541518
"79","Packwood (OR)","mr packwood","Packwood","OR","R",79,0.330856979410456,-0.232482383578737,0.778822913132687
"54","Inhofe (OK)","mr inhofe","Inhofe","OK","R",54,0.330973974897869,-0.181059079562616,0.71997443441838
"53","Hutchison (TX)","mrs hutchison","Hutchison","TX","R",53,0.336625741250907,-0.0369188372108108,0.64032203781708
"68","Lott (MS)","mr lott","Lott","MS","R",68,0.337159048779404,-0.106938049750909,0.69191503148143
"43","Gramm (TX)","mr gramm","Gramm","TX","R",43,0.341970655508354,-0.119140233170304,0.695809453450935
"96","Thomas (WY)","mr thomas","Thomas","WY","R",96,0.35474176947658,-0.0668167862971043,0.705276016862448
"25","Craig (ID)","mr craig","Craig","ID","R",25,0.357657075544774,0.0040569056669371,0.67257267415489
"97","Thompson (TN)","mr thompson","Thompson","TN","R",97,0.383033125730991,-0.0589965073343006,0.758334223445188
"26","DAmato (NY)","mr d'amato","DAmato","NY","R",26,0.387605586471729,-0.0255268432304822,0.748456230309768
"50","Heflin (AL)","mr heflin","Heflin","AL","D",50,0.395187582100842,-0.168147515667908,0.95380583595246
"59","Kempthorne (ID)","mr kempthorne","Kempthorne","ID","R",59,0.396382591574982,-0.0128962005173747,0.749082896607369
"81","Pressler (SD)","mr pressler","Pressler","SD","R",81,0.397409096726913,0.00895852430313525,0.759185535107441
"93","Snowe (ME)","ms snowe","Snowe","ME","R",93,0.398712396565006,-0.00179633270776703,0.762587086131973
"63","Kyl (AZ)","mr kyl","Kyl","AZ","R",63,0.401920841818561,-0.0114128927920622,0.756644626024517
"46","Gregg (NH)","mr gregg","Gregg","NH","R",46,0.407218928796908,0.0272076147625438,0.767056162831956
"95","Stevens (AK)","mr stevens","Stevens","AK","R",95,0.408750236098026,0.023291417281488,0.765016525828009
"38","Frahm (KS)","mrs frahm","Frahm","KS","R",38,0.413557001061617,-0.0923325250112901,0.875130686837513
"92","Smith (NH)","mr smith","Smith","NH","R",92,0.414790144701806,0.0502314259391283,0.749716293396816
"42","Graham (SC)","mr graham","Graham","SC","R",42,0.421313356983489,0.0650249939224544,0.783686790826446
"39","Frist (TN)","mr frist","Frist","TN","R",39,0.432538300909138,0.0676020641024876,0.77309668885564
"18","Campbell (CO)","mr campbell","Campbell","CO","R",18,0.438369438563943,0.00219990945758599,0.887345074519106
"1","Abraham (MI)","mr abraham","Abraham","MI","R",1,0.443643292968037,0.106917234301695,0.778355757327637
"49","Hatfield (OR)","mr hatfield","Hatfield","OR","R",49,0.448349116449409,0.133566810530145,0.768852616344671
"75","Murkowski (AK)","mr murkowski","Murkowski","AK","R",75,0.449223930373263,0.0120220857379765,0.882349326601778
"99","Warner (VA)","mr warner","Warner","VA","D",99,0.449542633581261,-0.112594914485837,1.02801832128829
"34","Faircloth (NC)","mr faircloth","Faircloth","NC","R",34,0.453742778422332,0.116756883907902,0.798417673671966
"86","Roth (DE)","mr roth","Roth","DE","R",86,0.454909099923024,0.117160025893297,0.828458828252946
"21","Cochran (MS)","mr cochran","Cochran","MS","R",21,0.456913770138965,0.069056492004385,0.869362032852689
"41","Gorton (WA)","mr gorton","Gorton","WA","R",41,0.459449442154397,0.145169720950531,0.784269264021771
"19","Chafee (RI)","mr chafee","Chafee","RI","R",19,0.464001984224912,0.141212587718657,0.812245514613201
"89","Shelby (AL)","mr shelby","Shelby","AL","R",89,0.468047513933686,0.057440872404852,0.864633620631165
"51","Helms (NC)","mr helms","Helms","NC","R",51,0.474657179160969,0.102510890570619,0.915458212619498
"72","McConnell (KY)","mr mcconnell","McConnell","KY","R",72,0.478889254929784,0.100978659936995,0.908634632348945
"69","Lugar (IN)","mr lugar","Lugar","IN","R",69,0.479572392427251,0.065034763015572,0.919874343078
"16","Burns (MT)","mr burns","Burns","MT","R",16,0.489271866061014,0.132470856607078,0.853860527426221
"24","Coverdell (GA)","mr coverdell","Coverdell","GA","R",24,0.491934894273876,0.104171495026189,0.933971974958688
"8","Bond (MO)","mr bond","Bond","MO","R",8,0.494432545339929,0.166905642224007,0.854860080208245
