"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"mr bumpers",104,"Dale","Bumpers","AR","D","Bumpers (AR)",31,"Arkansas",0,0,0,0,0,-1.66406928390118,0.335602916766918,-0.157828549083405,0.833686773374699,-1.30099836596619,0.611532946608901
"mr bunning",106,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",0,0,0,0,0,1.55402729187604,0.606145113379579,0.284345773766285,0.918848289980892,1.32789317250671,1.09239632836503
"mr burns",104,"Conrad","Burns","MT","R","Burns (MT)",33,"Montana",0,0,0,0,0,0.958595893969307,0.548008694123884,0.256683472703574,0.824329717762693,0.841480000360051,0.98906429544556
"mr burr",109,"Richard","Burr","NC","R","Burr (NC)",34,"North Carolina",0,0,0,0,0,1.29849101837054,0.877110149771985,0.375503499770048,1.33799846008597,1.11914333191833,1.57401126817375
"mr burris",111,"Roland","Burris","IL","D","Burris (IL)",35,"Illinois",0,0,0,0,0,-1.80622393606894,-0.610368096078339,-1.11476692065996,-0.044237469054565,-1.41712575786963,-1.06984181110146
"mr byrd",104,"Robert C.","Byrd","WV","D","Byrd (WV)",36,"West Virginia",0,0,0,0,0,-1.16018170409119,-0.196528621997722,-0.447956698093817,0.0663441294390856,-0.889368148006017,-0.334280957740405
"mr campbell",104,"Ben Nighthorse","Campbell","CO","R","Campbell (CO)",37,"Colorado",0,0,0,0,0,0.611107396926486,0.227963714714523,-0.161230398359315,0.624793699713886,0.557613575570761,0.420214359872685
"ms cantwell",107,"Maria","Cantwell","WA","D","Cantwell (WA)",38,"Washington",0,0,0,0,1,-1.18934782396179,-0.478837750260437,-0.74589058514051,-0.213556863871333,-0.913194209136386,-0.836058956946172
"mr cardin",110,"Ben","Cardin","MD","D","Cardin (MD)",39,"Maryland",0,0,0,0,0,-1.47687700989872,-0.728286620465392,-0.966306215978334,-0.482421964204471,-1.14807934268495,-1.27943092924422
"mrs carnahan",107,"Jean","Carnahan","MO","D","Carnahan (MO)",40,"Missouri",0,0,1,1,1,-0.870769931961371,-0.641921806930262,-1.25284175082607,-0.0393460213522675,-0.652945113155742,-1.12592557288497
"mr carper",107,"Tom","Carper","DE","D","Carper (DE)",41,"Delaware",0,0,0,0,0,-0.795528637373661,-0.0980211256286336,-0.388068853112263,0.17767552251592,-0.59147983452668,-0.159193121441848
"mr casey",110,"Robert","Casey","PA","D","Casey (PA)",42,"Pennsylvania",0,0,0,0,0,-1.04651888939848,-0.636801937807097,-0.939384004214185,-0.342370786528631,-0.796515989983847,-1.11682548568401
"mr chafee",104,"John H.","Chafee","RI","R","Chafee (RI)",43,"Rhode Island",0,0,0,0,0,0.136652660106864,-0.107745221512791,-0.495455723592388,0.285653728894276,0.170027307215139,-0.176476789904374
"mr chafee",106,"Lincoln D.","Chafee","RI","R","Chafee (RI)",44,"Rhode Island",0,0,0,0,0,-0.0209621792024632,0.190478715270929,-0.363488443376407,0.754819592527626,0.0412703517785288,0.353588288881696
"mr chambliss",108,"Saxby","Chambliss","GA","R","Chambliss (GA)",45,"Georgia",0,0,0,0,0,1.07606842778612,0.400851160137631,0.107932925450156,0.69324190544237,0.937444351609952,0.727505579912419
"mr chiesa",113,"Jeffrey S.","Chiesa","NJ","R","Chiesa (NJ)",46,"New Jersey",0,0,0,0,0,0.760149640205372,-0.426185192953133,-2.30419582683559,1.71881359507063,0.679367501534357,-0.742473974337534
"mr cleland",105,"Max","Cleland","GA","D","Cleland (GA)",47,"Georgia",0,0,0,0,0,-0.837119660146883,-0.160261229540264,-0.764942393116985,0.467776825773872,-0.625455908665645,-0.269819068974348
"mrs clinton",107,"Hillary Rodham","Clinton","NY","D","Clinton (NY)",48,"New York",0,0,0,0,1,-1.48155497130516,-0.765435337926695,-1.03221260293928,-0.501251231253387,-1.15190081070777,-1.3454592905498
