"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"mr kerrey",104,"Bob","Kerrey","NE","D","Kerrey (NE)",129,"Nebraska",0,0,0,0,0,-0.968894106184615,-0.314481927356963,-0.721730636667787,0.0910789910030499,-0.733103618427706,-0.543931895799298
"mr kerry",104,"John F.","Kerry","MA","D","Kerry (MA)",130,"Massachusetts",0,1,0,0,0,-1.33204335350042,-0.480171029049447,-0.65683872998603,-0.310015818740597,-1.02976344854507,-0.838428734952466
"mr king",113,"Angus","King","ME","I","King (ME)",131,"Maine",0,0,0,0,0,-0.861942288244298,-0.659078647391737,-1.52615427640994,0.152604065312092,-0.645733732973076,-1.15642024775584
"mr kirk",112,"Mark","Kirk","IL","R","Kirk (IL)",132,"Illinois",0,0,0,0,0,0.734628693337143,0.63993934915164,-0.416309153501726,1.77922060016908,0.658519214450399,1.15246241306709
"mr kirk",111,"Paul G, Jr.","Kirk","MA","D","Kirk (MA)",133,"Massachusetts",0,0,0,0,0,-1.73510061136592,-0.638781814802548,-1.63406348469239,0.279709767212559,-1.35902448523934,-1.12034453136123
"ms klobuchar",110,"Amy","Klobuchar","MN","D","Klobuchar (MN)",134,"Minnesota",0,0,0,0,1,-0.918805534493362,-0.904928946184616,-1.15504094366776,-0.653082053848226,-0.692185821465219,-1.59339609685992
"mr kohl",104,"Herbert","Kohl","WI","D","Kohl (WI)",135,"Wisconsin",0,0,0,0,0,-1.04847969298101,-0.519619638734594,-0.729504405209415,-0.307877085813001,-0.798117787762541,-0.908544938991189
"mr kyl",104,"Jon","Kyl","AZ","R","Kyl (AZ)",136,"Arizona",0,0,0,0,0,1.655193089633,0.73161527942653,0.524820352624857,0.926150909883147,1.41053640692919,1.31540778132969
"ms landrieu",105,"Mary","Landrieu","LA","D","Landrieu (LA)",137,"Louisiana",0,0,0,0,1,-0.709879712915911,-0.22419223340026,-0.473074869344762,0.0179491529373988,-0.521512471060621,-0.383450432584497
"mr lautenberg",104,"Frank","Lautenberg","NJ","D","Lautenberg (NJ)",138,"New Jersey",0,0,0,0,0,-1.6666438284224,-0.607671069936891,-0.833142932737992,-0.388643386165611,-1.30310153414275,-1.06504810007487
"mr leahy",104,"Edward L.","Leahy","VT","D","Leahy (VT)",139,"Vermont",0,0,0,0,0,-1.55128707913337,-0.302186086509841,-0.45835646142881,-0.141108364121703,-1.20886558597565,-0.522077191855473
"mr lee",112,"Mike","Lee","UT","R","Lee (UT)",140,"Utah",0,0,0,0,0,2.99110676172672,0.131568692216515,-0.343509207130012,0.607267637886577,2.50185609420403,0.248881247762212
"mr lemieux",111,"George","LeMieux","FL","R","LeMieux (FL)",141,"Florida",1,0,0,0,0,0.922312168405987,0.494506252829007,-0.069939062491103,1.0363883956917,0.811839504224646,0.893968723755139
"mr levin",104,"Carl M.","Levin","MI","D","Levin (MI)",142,"Michigan",0,1,0,0,0,-1.52898213936688,-0.598272908778043,-0.760224358635526,-0.418926643277041,-1.19064448352035,-1.04834375001888
"mr lieberman",104,"Joseph","Lieberman","CT","D","Lieberman (CT)",143,"Connecticut",0,0,0,0,0,-0.860046765311847,-0.312947184819691,-0.534693252979212,-0.0915821435788456,-0.644185263534461,-0.54120403487469
"mrs lincoln",106,"Blanche L.","Lincoln","AR","D","Lincoln (AR)",144,"Arkansas",0,0,0,0,1,-0.613841326156763,-0.31698122779464,-0.643127173013351,0.0108031097591109,-0.443057864004978,-0.548374167931091
"mr lott",104,"Trent","Lott","MS","R","Lott (MS)",145,"Mississippi",0,0,0,0,0,1.16831136655907,0.60206186741328,0.363497260674707,0.822727397469768,1.01279842365657,1.085138741606
"mr lugar",104,"Richard G.","Lugar","IN","R","Lugar (IN)",146,"Indiana",0,0,0,0,0,0.65457552906407,0.230193659753542,-0.106756138820527,0.565224192010564,0.593123076941806,0.42417787804478
"mr mack",104,"Connie","Mack","FL","R","Mack (FL)",147,"Florida",0,0,0,0,0,1.04524604255323,0.229139214217723,-0.189522175464877,0.64576063223295,0.912265272664898,0.422303699995735
"mr manchin",112,"Joe","Manchin","WV","D","Manchin (WV)",148,"West Virginia",0,1,0,0,0,-0.373840879952619,-0.249332664769184,-0.858052705344918,0.27913995238639,-0.246999378064911,-0.428135191554563
"mr markey",113,"Edward J.","Markey","MA","D","Markey (MA)",149,"Massachusetts",0,1,0,0,0,-1.66844531821792,-0.743201687912227,-1.53771530717861,0.0939205370793238,-1.30457318708062,-1.30594106282561
"mr martinez",109,"Mel","Martinez","FL","R","Martinez (FL)",150,"Florida",0,0,0,0,0,0.8473687406099,0.195997208871663,-0.252547062335933,0.635548526581924,0.750617555610595,0.363396893706649
"mr mccain",104,"John","McCain","AZ","R","McCain (AZ)",151,"Arizona",0,0,0,0,0,1.04143401518157,0.384049163890364,0.228606810730298,0.548982028899663,0.909151193809341,0.697641607353334
"mrs mccaskill",110,"Claire","McCaskill","MO","D","McCaskill (MO)",152,"Missouri",0,0,0,0,1,-0.741828531790637,0.0709910551312616,-0.348006840467128,0.519025370614129,-0.547611743604574,0.141210179099619
"mr mcconnell",104,"Mitch","McConnell","KY","R","McConnell (KY)",153,"Kentucky",0,1,0,0,0,1.13286250901617,0.746105550269415,0.564107421265713,0.92070805640593,0.983839938586697,1.341162878787
"mr menendez",109,"Robert","Menendez","NJ","D","Menendez (NJ)",154,"New Jersey",0,0,1,0,0,-1.51205786006625,-0.598513985255905,-0.857228243901676,-0.34476614886679,-1.17681889016089,-1.048772240849
"mr merkley",111,"Jeff","Merkley","OR","D","Merkley (OR)",155,"Oregon",0,0,0,0,0,-1.48850100686402,-0.945728694132714,-1.30973920720325,-0.570151538462495,-1.1575750885539,-1.66591382244492
"ms mikulski",104,"Barbara","Mikulski","MD","D","Mikulski (MD)",156,"Maryland",0,0,0,0,1,-1.28263513000247,-0.760612590656875,-0.948045601897447,-0.582628706745779,-0.98940143403549,-1.33688730957767
"mr miller",106,"Zell B.","Miller","GA","D","Miller (GA)",157,"Georgia",0,0,0,0,0,0.29129516366771,0.622510281197269,-0.233611098385683,1.47008811600334,0.296356135305449,1.12148387935837
"mr moran",112,"Jerry","Moran","KS","R","Moran (KS)",158,"Kansas",0,0,0,0,0,1.13927386170973,0.570467460392662,-0.0632041342692481,1.19778066626314,0.989077429273933,1.02898264619931
"ms moseley-braun",104,"Carol","Moseley-Braun","IL","D","Moseley-Braun (IL)",159,"Illinois",0,0,0,0,1,-1.33040789693358,-0.954700767356044,-1.2907424753809,-0.604023787097407,-1.02842742961932,-1.68186084115606
"mr moynihan",104,"Daniel P.","Moynihan","NY","D","Moynihan (NY)",160,"New York",0,0,0,0,0,-1.24744928366929,-0.321181549567025,-0.74374889712222,0.109666137361355,-0.960657805147671,-0.555839845955524
"mr murkowski",104,"Frank","Murkowski","AK","R","Murkowski (AK)",161,"Alaska",0,0,0,0,0,0.962917165459676,0.476039324360761,0.127536423923184,0.819253019817865,0.845010085237548,0.861145490318459
"ms murkowski",108,"Lisa","Murkowski","AK","R","Murkowski (AK)",162,"Alaska",0,0,1,0,1,0.443649845114363,0.157913958462658,-0.32748911134839,0.619453355737622,0.420816021287929,0.295707487731438
"mr murphy",113,"Chris","Murphy","CT","D","Murphy (CT)",163,"Connecticut",0,0,0,0,0,-1.69078827929945,-0.432823351835786,-1.21466404995172,0.400064480522584,-1.32282534948425,-0.754272679193609
"mrs murray",104,"Patty","Murray","WA","D","Murray (WA)",164,"Washington",0,0,0,0,1,-1.30023126207953,-0.704686191955305,-0.850411773137845,-0.557245436259682,-1.00377586986673,-1.23748338092701
"mr nelson of nebraska",107,"Ben","Nelson","NE","D","Nelson (NE)",165,"Nebraska",0,0,0,0,0,-0.198591631294222,-0.0340425802593612,-0.40826247259441,0.340602617451664,-0.103836717755213,-0.045477257257626
"mr nelson of florida",107,"Bill","Nelson","FL","D","Nelson (FL)",166,"Florida",0,0,0,0,0,-0.888588889165284,-0.196974033778677,-0.486741403708346,0.0731416580923947,-0.667501576802724,-0.335072635408236
"mr nickles",104,"Don","Nickles","OK","R","Nickles (OK)",167,"Oklahoma",0,0,0,0,0,1.71761194184091,0.721036827083266,0.441869074311346,0.983943899892144,1.46152691903678,1.29660557438668
"mr nunn",104,"Samuel A.","Nunn","GA","D","Nunn (GA)",168,"Georgia",1,0,0,0,0,-0.604310456013588,0.0662725689885598,-0.684430697587573,0.861067539072848,-0.4352720119388,0.132823512502846
"mr obama",109,"Barack","Obama","IL","D","Obama (IL)",169,"Illinois",0,0,0,0,0,-1.39549337788959,-0.464930159729725,-0.83467742372947,-0.122583210911699,-1.08159633432237,-0.81133951909725
"mr packwood",104,"Robert W.","Packwood","OR","R","Packwood (OR)",170,"Oregon",0,0,0,0,0,0.585061707555854,-1.09769753217053,-2.40375313971473,0.405467486727117,0.536336621698234,-1.93602417970294
"mr paul",112,"Rand","Paul","KY","R","Paul (KY)",171,"Kentucky",0,0,0,0,0,2.52371049744648,1.06594139295512,0.411544529919814,1.72755606688971,2.12003595445779,1.9096410934474
"mr pell",104,"Claiborne","Pell","RI","D","Pell (RI)",172,"Rhode Island",1,0,0,0,0,-1.53015286890038,-0.443292663685565,-0.984110548645736,0.109983347045488,-1.1916008628247,-0.772880899145161
"mr portman",112,"Rob","Portman","OH","R","Portman (OH)",173,"Ohio",0,0,0,0,0,0.885275062993929,0.203404493179716,-0.370941633059444,0.782778347406235,0.781583565431457,0.376562646874163
"mr pressler",104,"Larry","Pressler","SD","R","Pressler (SD)",174,"South Dakota",0,1,0,0,0,0.855438614105109,0.12222369720483,-0.449017122025926,0.680906813175268,0.757209906600862,0.232271395546638
"mr pryor",104,"David H.","Pryor","AR","D","Pryor (AR)",175,"Arkansas",1,0,0,0,0,-1.29366158973744,0.408225083000246,-0.575396811232424,1.36191827371127,-0.99840904645917,0.74061203623946
"mr pryor",108,"Mark","Pryor","AR","D","Pryor (AR)",176,"Arkansas",0,0,0,0,0,-0.649189912472307,-0.298373110275858,-0.688720420388895,0.0920827611482492,-0.471934436622899,-0.515299984198458
"mr reed",105,"Jack","Reed","RI","D","Reed (RI)",177,"Rhode Island",0,0,0,0,0,-1.70488280579015,-0.81551381876681,-1.01256465831475,-0.617427661248453,-1.33433929276025,-1.43446909364703
"mr reid",104,"Harry","Reid","NV","D","Reid (NV)",178,"Nevada",0,0,0,0,0,-1.08911008764121,0.204311121315246,0.0472801443210015,0.357464335767693,-0.8313091163047,0.378174093357207
"mr risch",111,"Jim","Risch","ID","R","Risch (ID)",179,"Idaho",0,0,0,0,0,1.62066071815166,0.921609745772659,0.225706416300246,1.5766797315655,1.3823266074241,1.65310512668301
"mr robb",104,"Charles","Robb","VA","D","Robb (VA)",180,"Virginia",0,0,0,0,0,-0.855364883355936,-0.534704337000757,-0.86999972017962,-0.223043962145263,-0.640360592780119,-0.935356575445162
"mr roberts",105,"Pat","Roberts","KS","R","Roberts (KS)",181,"Kansas",0,0,0,0,0,1.0156926801909,0.92172178998085,0.611996561314557,1.23275701136843,0.88812286972008,1.65330427475504
"mr rockefeller",104,"John D. IV","Rockefeller","WV","D","Rockefeller (WV)",182,"West Virginia",0,1,0,0,0,-1.19195467581568,-0.430037676150201,-0.666474411926427,-0.197771217549731,-0.915323769458574,-0.749321401916282
"mr roth",104,"William V., Jr.","Roth","DE","R","Roth (DE)",183,"Delaware",0,0,0,0,0,0.568533387064631,-0.161079382941964,-0.54676381907593,0.230862643968453,0.522834490590173,-0.271273259915587
"mr rubio",112,"Marco","Rubio","FL","R","Rubio (FL)",184,"Florida",0,0,0,0,0,1.41218681532585,0.510419807606667,-0.039592120715,1.01507871713665,1.21202243344236,0.922253574924225
"mr salazar",109,"Ken","Salazar","CO","D","Salazar (CO)",185,"Colorado",0,0,0,0,0,-0.793034310590427,-0.183127458103856,-0.516720718115814,0.137202079280154,-0.589442196929353,-0.310461645743399
"mr sanders",110,"Bernie","Sanders","VT","I","Sanders (VT)",186,"Vermont",0,0,0,0,0,-2.08455544973818,-0.349661175502161,-0.68317291051822,-0.0484977398496895,-1.64449723164173,-0.606459710101618
"mr santorum",104,"Rick","Santorum","PA","R","Santorum (PA)",187,"Pennsylvania",0,0,0,0,0,0.981398390151544,0.491054876840284,0.229724772472147,0.769749926554735,0.860107561049421,0.887834226621497
"mr sarbanes",104,"Paul","Sarbanes","MD","D","Sarbanes (MD)",188,"Maryland",0,0,0,0,0,-1.66929375730645,-0.620146177489499,-0.886508137895304,-0.32578398888011,-1.30526628447164,-1.08722143377522
"mr schatz",113,"Brian E.","Schatz","HI","D","Schatz (HI)",189,"Hawaii",0,0,1,0,0,-1.65856994440034,-0.53002297131687,-2.03146801593213,1.08037531481887,-1.29650590691765,-0.9270358869826
"mr schumer",106,"Charles","Schumer","NY","D","Schumer (NY)",190,"New York",0,0,0,0,0,-1.30044014895255,-0.265010233124203,-0.466097853972216,-0.0584315279424369,-1.00394651139971,-0.456000598989325
"mr scott",113,"Tim","Scott","SC","R","Scott (SC)",191,"South Carolina",0,0,1,0,0,1.65218852615303,-0.129711460351568,-1.14970589170179,0.915873000438144,1.40808195246417,-0.215519719342845
"mr sessions",105,"Jeff","Sessions","AL","R","Sessions (AL)",192,"Alabama",0,0,0,0,0,1.4109731924964,0.795952204950889,0.606238656460314,0.964957673300286,1.21103101422541,1.429760632629
"mrs shaheen",111,"Jeanne","Shaheen","NH","D","Shaheen (NH)",193,"New Hampshire",0,0,0,0,1,-1.08554752503304,-1.06612051446349,-1.32466041101206,-0.800180444219367,-0.828398827419526,-1.87989899217029
"mr shelby",104,"Richard","Shelby","AL","R","Shelby (AL)",194,"Alabama",0,0,0,0,0,1.06956468174428,0.307944097404538,-0.0315879967189981,0.623455569125527,0.932131383979812,0.562371989166768
"mr simon",104,"Paul","Simon","IL","D","Simon (IL)",195,"Illinois",1,0,0,0,0,-1.6939115317013,-0.142099028826886,-0.55402050978896,0.275024281105137,-1.32537676197869,-0.237537460543141
"mr simpson",104,"Alan K.","Simpson","WY","R","Simpson (WY)",196,"Wyoming",1,0,0,0,0,0.500676215742963,-0.0362982594332168,-0.747895919651667,0.653400991456374,0.46740136752762,-0.0494865154409253
"mr smith of oregon",105,"Gordon","Smith","OR","R","Smith (OR)",197,"Oregon",0,0,0,0,0,0.428084954261995,-0.0439551065924699,-0.343299269031491,0.256382809265651,0.408100924367893,-0.0630958431712672
"mr smith",104,"Robert C.","Smith","NH","R","Smith (NH)",198,"New Hampshire",0,1,0,0,0,1.86587095936554,0.504917220505611,0.119749953544753,0.867329935266195,1.58264102095856,0.912473242410663
"ms snowe",104,"Olympia","Snowe","ME","R","Snowe (ME)",199,"Maine",0,0,0,0,1,0.145546950448086,-0.643050250476693,-0.872209823996969,-0.400685965017965,0.177293131614183,-1.12793127545799
"mr specter",104,"Arlen","Specter","PA","R","Specter (PA)",200,"Pennsylvania",0,0,0,0,0,0.0308714150188118,0.26336088921358,0.0292441010178565,0.494677417623648,0.0836136730705686,0.483129517830827
"ms stabenow",107,"Debbie","Stabenow","MI","D","Stabenow (MI)",201,"Michigan",0,0,0,0,1,-1.27116373660345,-0.595676140184098,-0.817455451406175,-0.386577484882693,-0.980030351368741,-1.04372823738035
"mr stevens",104,"Ted","Stevens","AK","R","Stevens (AK)",202,"Alaska",0,1,0,0,0,0.612206883512277,-0.0169880908599108,-0.262917188424852,0.242683655752278,0.558511755881385,-0.0151645018005351
"mr sununu",108,"John","Sununu","NH","R","Sununu (NH)",203,"New Hampshire",0,0,0,0,0,1.10509441979813,0.803592644145091,0.277121556593772,1.2915644113162,0.96115594105401,1.44334079674028
"mr talent",108,"James","Talent","MO","R","Talent (MO)",204,"Missouri",0,0,0,0,0,0.648420494053695,0.52366086761353,-0.0602740057780364,1.04651297504538,0.58809497443563,0.945788317277382
"mr tester",110,"John","Tester","MT","D","Tester (MT)",205,"Montana",0,0,0,0,0,-0.868414533621024,-0.134386187841174,-0.494001423616418,0.219631992159303,-0.651020967431441,-0.223828609037633
"mr thomas",104,"Craig","Thomas","WY","R","Thomas (WY)",206,"Wyoming",0,0,0,0,0,1.33825354013438,0.689073628696661,0.44322948386247,0.945958102335284,1.15162568742007,1.23979398691395
"mr thompson",104,"Fred","Thompson","TN","R","Thompson (TN)",207,"Tennessee",0,1,0,0,0,1.08870696038684,0.659708787624136,0.229730910990823,1.10217393458284,0.947768880607259,1.18760073588079
"mr thune",109,"John","Thune","SD","R","Thune (SD)",208,"South Dakota",0,0,0,0,0,1.08926639662639,0.91785338495495,0.684520147648224,1.13648797803974,0.948225889016376,1.64642854761876
"mr thurmond",104,"Strom","Thurmond","SC","R","Thurmond (SC)",209,"South Carolina",0,1,0,0,0,1.09561380413912,0.324706540951627,-0.0314668346414552,0.69007716573028,0.95341114232016,0.592165660510725
"mr toomey",112,"Pat","Toomey","PA","R","Toomey (PA)",210,"Pennsylvania",0,0,0,0,0,1.3376217048996,0.407567903490734,-0.271861434964392,1.03343942250115,1.15110953563179,0.739443961294696
"mr torricelli",105,"Robert","Torricelli","NJ","D","Torricelli (NJ)",211,"New Jersey",0,0,0,0,0,-0.941620987221275,-0.297225295306857,-0.699241900274718,0.108683793174988,-0.710823966471278,-0.51325985073856
"mr udall of colorado",111,"Mark","Udall","CO","D","Udall (CO)",212,"Colorado",0,0,0,0,0,-0.879033268970613,-0.585227971263696,-0.949440202679091,-0.254959603419301,-0.659695506200706,-1.02515759700288
"mr udall of new mexico",111,"Tom","Udall","NM","D","Udall (NM)",213,"New Mexico",0,0,0,0,0,-1.41372029965182,-1.03579519523725,-1.38423834207173,-0.661944825571343,-1.09648606782316,-1.82599858129707
"mr vitter",109,"David","Vitter","LA","R","Vitter (LA)",214,"Louisiana",0,0,0,0,0,1.47959280257577,0.739928487202607,0.441465038234729,1.02225126039107,1.26708698024856,1.33018372849984
"mr voinovich",106,"George","Voinovich","OH","R","Voinovich (OH)",215,"Ohio",0,0,0,0,0,0.624586165630744,0.138341389806148,-0.165434930598285,0.467426209226758,0.568624500868146,0.260919082552269
"mr walsh",113,"John","Walsh","MT","D","Walsh (MT)",216,"Montana",0,0,0,0,0,-0.862756830223102,0.332339596257854,-1.08337397131175,1.71857138915816,-0.646399139515541,0.605732700453624
"mr warner",104,"John","Warner","VA","R","Warner (VA)",217,"Virginia",0,1,0,0,0,0.634262696793827,0.0239101559279441,-0.194222266283624,0.239461643514371,0.576529344709029,0.0575282962344475
"mr warner",111,"Mark","Warner","VA","D","Warner (VA)",218,"Virginia",0,0,0,0,0,-0.818009843811252,-0.541837594029594,-0.92735581625538,-0.150604225472267,-0.609844930783672,-0.948035270823441
"ms warren",113,"Elizabeth","Warren","MA","D","Warren (MA)",219,"Massachusetts",0,0,0,0,1,-1.62898934635702,-1.53044650314747,-2.17166424554651,-0.849503949180389,-1.27234125490428,-2.70519489037543
"mr webb",110,"Jim","Webb","VA","D","Webb (VA)",220,"Virginia",0,0,0,0,0,-0.692198767825789,0.0837515930425226,-0.418086271090059,0.666299708621308,-0.507068750729326,0.163890838493471
"mr wellstone",104,"Paul","Wellstone","MN","D","Wellstone (MN)",221,"Minnesota",0,1,0,0,0,-2.40544163572983,-0.543351026865929,-0.797631940692037,-0.264803165617023,-1.90663199338752,-0.950725255753158
"mr whitehouse",110,"Sheldon","Whitehouse","RI","D","Whitehouse (RI)",222,"Rhode Island",0,0,0,0,0,-1.73260311854865,-0.985673997090427,-1.28840768593586,-0.649234057561882,-1.35698426128083,-1.73691285219339
"mr wicker",110,"Roger F.","Wicker","MS","R","Wicker (MS)",223,"Mississippi",0,0,1,1,0,0.962009287250186,0.844874371132825,0.331745742545473,1.37666442478084,0.844268431503208,1.51671519486597
"mr wyden",104,"Ron","Wyden","OR","D","Wyden (OR)",224,"Oregon",0,0,0,0,0,-1.24944582983216,-0.238876309095879,-0.455278191805994,0.00621026036432715,-0.962288801356191,-0.409549999991602
