"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"101","Warren (MA)","ms warren","Warren","MA","D",101,-1.02407641379741,-1.69277728650543,-0.463853094341515
"34","Feinstein (CA)","mrs feinstein","Feinstein","CA","D",34,-0.989326245153099,-1.5765920593234,-0.466932833421541
"62","Levin (MI)","mr levin","Levin","MI","D",62,-0.960642855255401,-1.56062350738729,-0.420714554988271
"102","Whitehouse (RI)","mr whitehouse","Whitehouse","RI","D",102,-0.939450151167075,-1.54438723721281,-0.410759577703744
"47","Hirono (HI)","ms hirono","Hirono","HI","D",47,-0.825161996459643,-1.48470821985285,-0.261194647513578
"8","Blumenthal (CT)","mr blumenthal","Blumenthal","CT","D",8,-0.804419342550076,-1.31163474765696,-0.341436935516152
"73","Murphy (CT)","mr murphy","Murphy","CT","D",73,-0.733708703344715,-1.26371638752347,-0.250263048076938
"5","Bayh (IN)","mr baucus","Bayh","IN","D",5,-0.730683338783222,-1.37474588330072,-0.126904649426933
"100","Warner (VA)","mr warner","Warner","VA","D",100,-0.730238370935118,-1.30504748079066,-0.210950606832806
"90","Shaheen (NH)","mrs shaheen","Shaheen","NH","D",90,-0.729753922537153,-1.22935780485248,-0.264675247527028
"92","Stabenow (MI)","ms stabenow","Stabenow","MI","D",92,-0.719255592655816,-1.24600871946728,-0.232972953946038
"13","Brown (OH)","mr brown","Brown","OH","D",13,-0.718452540587699,-1.22202403070457,-0.25252967721278
"55","King (ME)","mr king","King","ME","I",55,-0.685111774823968,-1.51206269070229,0.0762537280877998
"3","Baldwin (WI)","ms baldwin","Baldwin","WI","D",3,-0.681602202536015,-1.25970469271144,-0.147542885167348
"86","Schatz (HI)","mr schatz","Schatz","HI","D",86,-0.657117692782257,-1.36340835148897,0.0065334913492615
"10","Booker (NJ)","mr booker","Booker","NJ","D",10,-0.653663665551062,-1.34358143634529,0.0139540263418538
"83","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",83,-0.651236925713237,-1.34393091248801,-0.0139228229206118
"85","Sanders (VT)","mr sanders","Sanders","VT","I",85,-0.647308147102338,-1.25205622049146,-0.0462874681944685
"57","Klobuchar (MN)","ms klobuchar","Klobuchar","MN","D",57,-0.640702652409456,-1.11399281794861,-0.190569278400886
"59","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",59,-0.62415693843709,-1.30945821319157,0.0350194206699767
"60","Leahy (VT)","mr leahy","Leahy","VT","D",60,-0.621780606155803,-1.0394172368435,-0.206187718526426
"37","Franken (IL)","mr franken","Franken","IL","D",37,-0.620204060768704,-1.2434414871414,-0.0326024931464112
"25","Coons (DE)","mr coons","Coons","DE","D",25,-0.618679836634605,-1.11888278780956,-0.143022828772857
"15","Cantwell (WA)","ms cantwell","Cantwell","WA","D",15,-0.617483305175063,-1.20370618798278,-0.0508524629404802
"38","Gillibrand (NY)","mrs gillibrand","Gillibrand","NY","D",38,-0.616500592153297,-1.1638230033377,-0.0858294249876827
"28","Cowan (MA)","mr cowan","Cowan","MA","D",28,-0.612740213223851,-1.3314210134681,0.075095317141152
"97","Udall (NM)","mr udall of new mexico","Udall","NM","D",97,-0.601323316078403,-1.13184408852439,-0.069766375522472
"31","Donnelly (IN)","mr donnelly","Donnelly","IN","D",31,-0.594001925146662,-1.25108794270023,0.0168930448646799
"45","Heitkamp (ND)","ms heitkamp","Heitkamp","ND","D",45,-0.576518441343929,-1.14769830903864,-0.0259760616880875
"74","Murray (WA)","mrs murray","Murray","WA","D",74,-0.572406154023057,-0.977586610553401,-0.178875599016368
"96","Udall (CO)","mr udall of colorado","Udall","CO","D",96,-0.564432772854301,-1.15486945260168,0.0191280411085126
"6","Begich (AK)","mr begich","Begich","AK","D",6,-0.56087702691878,-1.12444274404428,-0.0185750369245312
"79","Reed (RI)","mr reed","Reed","RI","D",79,-0.558441270519676,-0.997029614763161,-0.128288253105422
"52","Johnson (SD)","mr johnson of south dakota","Johnson","SD","D",52,-0.55600951861111,-1.28824834470594,0.174721712993533
"70","Mikulski (MD)","ms mikulski","Mikulski","MD","D",70,-0.555473987126539,-0.96578000544646,-0.149914999161703
"64","Markey (MA)","mr markey","Markey","MA","D",64,-0.542505056911613,-1.11655985128902,0.0032898333961685
"99","Walsh (MT)","mr walsh","Walsh","MT","D",99,-0.541381498898308,-1.22001472326054,0.141160177405039
"87","Schumer (NY)","mr schumer","Schumer","NY","D",87,-0.537831650495749,-0.975922932125213,-0.108237528287017
"69","Merkley (OR)","mr merkley","Merkley","OR","D",69,-0.529900280096237,-1.04304681207854,-0.00613926530540124
"44","Heinrich (NM)","mr heinrich","Heinrich","NM","D",44,-0.519973791604361,-1.1809266176447,0.162143342286798
"16","Cardin (MD)","mr cardin","Cardin","MD","D",16,-0.517896282513813,-1.02850159844376,0.0132577607258792
"54","Kaine (VA)","mr kaine","Kaine","VA","D",54,-0.513212663402433,-1.07354284448996,0.0571686340336305
"42","Harkin (IA)","mr harkin","Harkin","IA","D",42,-0.494000111935507,-0.98273998502964,-0.0118550502882384
"7","Bennet (CO)","mr bennet","Bennet","CO","D",7,-0.474615503655958,-1.1003513187036,0.182835413223809
"17","Carper (DE)","mr carper","Carper","DE","D",17,-0.462796925661911,-1.07192219948021,0.18943849871513
"18","Casey (PA)","mr casey","Casey","PA","D",18,-0.460782124818021,-1.02059250713608,0.104967215454107
"75","Nelson (FL)","mr nelson","Nelson","FL","D",75,-0.454595038886375,-0.954649099594363,0.0708780645889733
"104","Wyden (OR)","mr wyden","Wyden","OR","D",104,-0.454287079230238,-1.02604753849911,0.157774482742041
"66","McCaskill (MO)","mrs mccaskill","McCaskill","MO","D",66,-0.442945441142093,-1.05158865722768,0.155683457736907
"68","Menendez (NJ)","mr menendez","Menendez","NJ","D",68,-0.430033466032521,-0.979240148205513,0.14482081679199
"93","Tester (MT)","mr tester","Tester","MT","D",93,-0.414621696189131,-0.978046034888103,0.166395209272593
"41","Hagan (NC)","mrs hagan","Hagan","NC","D",41,-0.392436422818256,-1.05148100590685,0.379002960876786
"63","Manchin (WV)","mr manchin","Manchin","WV","D",63,-0.373966333701203,-0.90566865238608,0.194183845009149
"32","Durbin (IL)","mr durbin","Durbin","IL","D",32,-0.359326206011538,-0.751477688800881,0.0439057285909033
"78","Pryor (AR)","mr pryor","Pryor","AR","D",78,-0.309619041200446,-0.802763970684699,0.23465410569426
"12","Boxer (CA)","mrs boxer","Boxer","CA","D",12,-0.258142708857213,-0.726039301952017,0.238269152103926
"58","Landrieu (LA)","ms landrieu","Landrieu","LA","D",58,-0.254014667038253,-0.77765140926389,0.316656594354078
"24","Collins (ME)","ms collins","Collins","ME","R",24,-0.242244010196059,-1.0695113433548,0.583681165602361
"23","Cochran (MS)","mr cochran","Cochran","MS","R",23,-0.0790311623652617,-0.935999650710412,0.767565319577416
"80","Reid (NV)","mr reid","Reid","NV","D",80,0.0221354982637762,-0.421174106944489,0.462229636276244
"35","Fischer (NE)","mrs fischer","Fischer","NE","R",35,0.21808285066016,-0.48171245348009,0.879090903170424
"88","Scott (SC)","mr scott","Scott","SC","R",88,0.296424171827173,-0.580081939257226,1.09162936355665
"33","Enzi (WY)","mr enzi","Enzi","WY","R",33,0.304069649469973,-0.283622794887854,0.86255317264784
"61","Lee (UT)","mr lee","Lee","UT","R",61,0.339628341769329,-0.274377536924704,0.927739034648936
"65","McCain (AZ)","mr mccain","McCain","AZ","R",65,0.363760066739928,-0.289705754841507,0.957801785835022
"29","Crapo (ID)","mr crapo","Crapo","ID","R",29,0.370597449379653,-0.727667611687475,1.26463393702955
"81","Risch (ID)","mr risch","Risch","ID","R",81,0.509900529684715,-0.613265382246592,1.47907232418584
"50","Isakson (GA)","mr isakson","Isakson","GA","R",50,0.535119713699804,-0.191876948083193,1.22448451268215
"72","Murkowski (AK)","ms murkowski","Murkowski","AK","R",72,0.553241695492871,-0.434777626752415,1.38045326713566
"91","Shelby (AL)","mr shelby","Shelby","AL","R",91,0.569303477634877,-0.151593460303358,1.26532555650491
"89","Sessions (AL)","mr sessions","Sessions","AL","R",89,0.57546397859287,0.0544377134145785,1.07193695757346
"56","Kirk (IL)","mr kirk","Kirk","IL","R",56,0.576947097668316,-0.440225506927896,1.54775595968414
"4","Barrasso (WY)","mr barrasso","Barrasso","WY","R",4,0.595153224022061,0.0734797300252082,1.12595716652385
"49","Inhofe (OK)","mr inhofe","Inhofe","OK","R",49,0.64727752941181,-0.0611401042362847,1.35994552856118
"9","Blunt (MO)","mr blunt","Blunt","MO","R",9,0.673400425998084,0.103270579135268,1.26328248070241
"53","Johnson (WI)","mr johnson of wisconsin","Johnson","WI","R",53,0.674605213943935,-0.168448010349038,1.50169846158272
"11","Boozman (AR)","mr boozman","Boozman","AR","R",11,0.674706676293348,-0.0987984720994605,1.45330640468618
"71","Moran (KS)","mr moran","Moran","KS","R",71,0.683132307373935,-0.0255168123971622,1.3622555228277
"77","Portman (OH)","mr portman","Portman","OH","R",77,0.684024455571111,0.104137892863143,1.26052707961953
"39","Graham (SC)","mr graham","Graham","SC","R",39,0.719592107888246,0.0432314851790339,1.39698674686489
"51","Johanns (NE)","mr johanns","Johanns","NE","R",51,0.723628252004774,-0.0624123548160791,1.54849969058186
"19","Chambliss (GA)","mr chambliss","Chambliss","GA","R",19,0.726845305834524,-0.100216588553885,1.57833138740777
"95","Toomey (PA)","mr toomey","Toomey","PA","R",95,0.732341326682556,0.193907116093338,1.2940463177256
"84","Rubio (FL)","mr rubio","Rubio","FL","R",84,0.762870656534499,-0.0221004850136587,1.50513530240194
"20","Chiesa (NJ)","mr chiesa","Chiesa","NJ","R",20,0.765343398525508,-0.260235561442994,1.77846840118885
