"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"92","Specter (PA)","mr specter","Specter","PA","R",92,-0.98233456721209,-1.55749023956935,-0.360618658240553
"91","Snowe (ME)","ms snowe","Snowe","ME","R",91,-0.669235594746395,-1.17600211620067,-0.16560762362954
"25","Conrad (ND)","mr conrad","Conrad","ND","D",25,-0.627273488528264,-1.06523821409151,-0.32078090573418
"99","Wellstone (MN)","mr wellstone","Wellstone","MN","D",99,-0.619615667668907,-1.04173816881802,-0.325251930940704
"58","Johnson (SD)","mr johnson","Johnson","SD","D",58,-0.595668951190962,-1.00620004993109,-0.294686783461077
"49","Harkin (IA)","mr harkin","Harkin","IA","D",49,-0.583464880972605,-1.00036701823097,-0.283140756223561
"57","Jeffords (VT)","mr jeffords","Jeffords","VT","I",57,-0.570522553113057,-1.04489939025427,-0.104046573954662
"33","Dorgan (ND)","mr dorgan","Dorgan","ND","D",33,-0.563556375558886,-0.961151858833355,-0.258226772097592
"74","Mikulski (MD)","ms mikulski","Mikulski","MD","D",74,-0.561103527237777,-0.911548679126676,-0.27155957024511
"75","Moynihan (NY)","mr moynihan","Moynihan","NY","D",75,-0.553862523535256,-0.916876987384163,-0.240121009909436
"60","Kennedy (MA)","mr kennedy","Kennedy","MA","D",60,-0.550404730737495,-0.832726413495316,-0.305442873164518
"41","Glenn (OH)","mr glenn","Glenn","OH","D",41,-0.542215725838781,-0.914296729287421,-0.225951808817113
"38","Feinstein (CA)","mrs feinstein","Feinstein","CA","D",38,-0.537982007684061,-0.868954340923372,-0.250104814074325
"68","Lieberman (CT)","mr lieberman","Lieberman","CT","D",68,-0.523440539009514,-0.877533434437588,-0.20025159469991
"29","Daschle (SD)","mr daschle","Daschle","SD","D",29,-0.522718050962403,-0.796918276622698,-0.277803415101709
"8","Bingaman (NM)","mr bingaman","Bingaman","NM","D",8,-0.520717719685841,-0.880913109534689,-0.193596905730542
"2","Akaka (HI)","mr akaka","Akaka","HI","D",2,-0.517805210066044,-0.929202317483212,-0.131822791286366
"80","Reid (NV)","mr reid","Reid","NV","D",80,-0.51758084700855,-0.904249344691655,-0.15209807915393
"21","Clinton (NY)","ms collins","Clinton","NY","D",21,-0.516598031936526,-0.874423797439502,-0.190909067095085
"79","Reed (RI)","mr reed","Reed","RI","D",79,-0.512764285038982,-0.843237177528974,-0.210804622377708
"77","Murray (WA)","mrs murray","Murray","WA","D",77,-0.510124611900909,-0.817198668033796,-0.218334621512922
"97","Torricelli (NJ)","mr torricelli","Torricelli","NJ","D",97,-0.508020181286496,-0.857135241247308,-0.153134778291691
"81","Robb (VA)","mr robb","Robb","VA","D",81,-0.504554628272918,-0.853958004023806,-0.145800268914458
"10","Boxer (CA)","mrs boxer","Boxer","CA","D",10,-0.502882022360564,-0.78288938332603,-0.221195895198429
"11","Braun (IL)","ms moseley-braun","Braun","IL","D",11,-0.496866351796392,-0.81392647697198,-0.189449034601231
"15","Bumpers (AR)","mr bumpers","Bumpers","AR","D",15,-0.487836335288703,-0.845620178305084,-0.101968798395764
"65","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",65,-0.487450652631054,-0.841166901624202,-0.118360763833947
"83","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",83,-0.478932028321428,-0.820548934537684,-0.11004785157181
"66","Leahy (VT)","mr leahy","Leahy","VT","D",66,-0.474569613918227,-0.805910603047941,-0.132144540953539
"67","Levin (MI)","mr levin","Levin","MI","D",67,-0.473396414176981,-0.79508515855246,-0.138195367798145
"52","Hollings (SC)","mr hollings","Hollings","SC","D",52,-0.464407884776697,-0.829714101394168,-0.0625832473518078
"17","Byrd (WV)","mr byrd","Byrd","WV","D",17,-0.455907653291166,-0.771296012200312,-0.103173541174897
"86","Sarbanes (MD)","mr sarbanes","Sarbanes","MD","D",86,-0.450545539132481,-0.777665415290963,-0.0694854442449181
"56","Inouye (HI)","mr inouye","Inouye","HI","D",56,-0.447589722955854,-0.828687736039656,-0.0125633487702546
"31","Dodd (CT)","mr dodd","Dodd","CT","D",31,-0.430812312758162,-0.708028078561409,-0.104486007183937
"20","Cleland (GA)","mr cleland","Cleland","GA","D",20,-0.428058428712782,-0.774809011576522,0.0145806183161989
"61","Kerry (MA)","mr kerry","Kerry","MA","D",61,-0.425634700443185,-0.689378479911809,-0.123264345246787
"12","Breaux (LA)","mr breaux","Breaux","LA","D",12,-0.424703114213929,-0.764388525423209,0.00725467975417755
"98","Warner (VA)","mr warner","Warner","VA","D",98,-0.408796105487507,-0.698054014657878,-0.0328418839774053
"62","Kohl (WI)","mr kohl","Kohl","WI","D",62,-0.407220537437628,-0.729058486853952,0.0144962616284834
"14","Bryan (NV)","mr bryan","Bryan","NV","D",14,-0.401497844551834,-0.734243732368482,0.0517187195699854
"64","Landrieu (LA)","ms landrieu","Landrieu","LA","D",64,-0.394785178135004,-0.7060423943963,0.0136265964299621
"100","Wyden (OR)","mr wyden","Wyden","OR","D",100,-0.393432191009317,-0.713402752660342,0.0450922109974432
"37","Feingold (WI)","mr feingold","Feingold","WI","D",37,-0.392445344977116,-0.662358323684357,-0.0462599779305691
"7","Biden (DE)","mr biden","Biden","DE","D",7,-0.387968860375134,-0.689692670429382,0.0208252275293939
"6","Bennet (CO)","mr bennett","Bennet","CO","D",6,-0.38245829260943,-0.739245302143556,0.11527149589564
"34","Durbin (IL)","mr durbin","Durbin","IL","D",34,-0.377244449427955,-0.648193967853781,-0.0263712167269686
"5","Baucus (MT)","mr baucus","Baucus","MT","D",5,-0.356350814259929,-0.652764142184916,0.0749544157871555
"28","DAmato (NY)","mr d'amato","DAmato","NY","R",28,-0.315974766591563,-0.899463257165564,0.267631131339492
"39","Ford (KY)","mr ford","Ford","KY","D",39,-0.271303948671976,-0.611624039565927,0.266737349406434
"19","Chafee (RI)","mr chafee","Chafee","RI","R",19,-0.150564870717465,-0.721193241208697,0.427193126991927
