"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"105","Whitehouse (RI)","mr whitehouse","Whitehouse","RI","D",105,-1.16007226886023,-1.54617159253201,-0.778328070324536
"47","Hagan (NC)","mrs hagan","Hagan","NC","D",47,-1.10699322490425,-1.52076818943778,-0.718120203582083
"76","Merkley (OR)","mr merkley","Merkley","OR","D",76,-1.06707050116344,-1.42583686979268,-0.725725465573426
"41","Franken (IL)","mr franken","Franken","IL","D",41,-1.04248434346647,-1.49197244097724,-0.621087547216518
"42","Gillibrand (NY)","mrs gillibrand","Gillibrand","NY","D",42,-1.02098116843111,-1.48053781654069,-0.58210000659574
"48","Harkin (IA)","mr harkin","Harkin","IA","D",48,-0.923457649571836,-1.28291567654162,-0.561567871273533
"100","Udall (NM)","mr udall of new mexico","Udall","NM","D",100,-0.911750610308747,-1.27276772715003,-0.559348838115119
"79","Murray (WA)","mrs murray","Murray","WA","D",79,-0.901348425050653,-1.30686894640758,-0.523112863155628
"57","Kennedy (MA)","mr kennedy","Kennedy","MA","D",57,-0.819417744523851,-1.53256509105157,-0.146016541063203
"64","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",64,-0.808884869748417,-1.34499606392875,-0.284601560311323
"18","Byrd (WV)","mr byrd","Byrd","WV","D",18,-0.807926957311332,-1.57434386696193,-0.0743669668952804
"56","Kaufman (DE)","mr kaufman","Kaufman","DE","D",56,-0.807025009680423,-1.21202801264478,-0.419653112055812
"67","Levin (MI)","mr levin","Levin","MI","D",67,-0.80233323335755,-1.13328660583975,-0.483309440021508
"6","Begich (AK)","mr begich","Begich","AK","D",6,-0.785260576115793,-1.17343497697175,-0.416489144579272
"99","Udall (CO)","mr udall of colorado","Udall","CO","D",99,-0.778586243658942,-1.18065655178117,-0.384635486830095
"14","Brown (OH)","mr brown of ohio","Brown","OH","D",14,-0.755871545402794,-1.09428162849227,-0.42450544480034
"40","Feinstein (CA)","mrs feinstein","Feinstein","CA","D",40,-0.745232687775274,-1.17880283991065,-0.316282168898801
"52","Inouye (HI)","mr inouye","Inouye","HI","D",52,-0.735593020834673,-1.21480956559733,-0.275762373810136
"20","Cardin (MD)","mr cardin","Cardin","MD","D",20,-0.722708601444781,-1.06772385993275,-0.389581853638875
"92","Shaheen (NH)","mrs shaheen","Shaheen","NH","D",92,-0.717888459367824,-1.06439301173267,-0.391414360332527
"16","Burris (IL)","mr burris","Burris","IL","D",16,-0.689540325267742,-1.0843959417517,-0.302997065292454
"9","Biden (DE)","mr biden","Biden","DE","D",9,-0.68614786855316,-1.46513671841527,0.0648621877251482
"1","Akaka (HI)","mr akaka","Akaka","HI","D",1,-0.668432939046584,-1.14710815450828,-0.207792663874486
"77","Mikulski (MD)","ms mikulski","Mikulski","MD","D",77,-0.667315580193846,-1.10216214659039,-0.239593755568299
"81","Nelson (NE)","mr nelson of nebraska","Nelson","NE","D",81,-0.655354194788585,-1.24089745664837,-0.11076348840104
"22","Casey (PA)","mr casey","Casey","PA","D",22,-0.645464056785284,-1.02641903547687,-0.27505671623978
"73","McCaskill (MO)","mrs mccaskill","McCaskill","MO","D",73,-0.639327020683433,-1.15316247510571,-0.138423833866012
"24","Clinton (NY)","mrs clinton","Clinton","NY","D",24,-0.638642494997089,-1.40563038711513,0.118726552804789
"29","Coons (DE)","mr coons","Coons","DE","D",29,-0.619474958727953,-1.38483917971445,0.146997573355297
"87","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",87,-0.605254130347675,-1.15850241871901,-0.0724583215675822
"43","Goodwin (WV)","mr goodwin","Goodwin","WV","D",43,-0.589248362614715,-1.34592765498853,0.169999081458987
"90","Schumer (NY)","mr schumer","Schumer","NY","D",90,-0.578437147475567,-0.946715124467079,-0.207946267566228
"107","Wyden (OR)","mr wyden","Wyden","OR","D",107,-0.577800256521757,-0.95670807186439,-0.214743207160809
"11","Boxer (CA)","mrs boxer","Boxer","CA","D",11,-0.573111289829454,-0.91851725826989,-0.232413020587427
"39","Feingold (WI)","mr feingold","Feingold","WI","D",39,-0.561271107237039,-0.98098727282688,-0.167119846114018
"69","Lincoln (AR)","mrs lincoln","Lincoln","AR","D",69,-0.542277349742865,-0.973543592456871,-0.108258695021167
"75","Menendez (NJ)","mr menendez","Menendez","NJ","D",75,-0.541900500152185,-0.947067901467193,-0.142680814102523
"97","Tester (MT)","mr tester","Tester","MT","D",97,-0.533602501020544,-1.13031555790107,0.0819085590922673
"83","Reed (RI)","mr reed","Reed","RI","D",83,-0.530124691467534,-0.947070709439946,-0.133959036740213
"96","Stabenow (MI)","ms stabenow","Stabenow","MI","D",96,-0.518837607632446,-0.853896897055447,-0.198313591743932
"103","Warner (VA)","mr warner","Warner","VA","D",103,-0.511840040710301,-0.924020932244892,-0.118750573719116
"88","Salazar (CO)","mr salazar","Salazar","CO","D",88,-0.50498799821189,-1.26337032117923,0.284685676668151
"89","Sanders (VT)","mr sanders","Sanders","VT","I",89,-0.493891328913974,-0.946328915318539,-0.0561604018455189
"10","Bingaman (NM)","mr bingaman","Bingaman","NM","D",10,-0.478973905362645,-0.91041279678331,-0.0506600733324974
"5","Bayh (IN)","mr bayh","Bayh","IN","D",5,-0.478324997780657,-1.17615344593867,0.247593027214155
"59","Kirk (IL)","mr kirk","Kirk","IL","R",59,-0.476089732078785,-1.02714615491892,0.0834040087747846
"60","Klobuchar (MN)","ms klobuchar","Klobuchar","MN","D",60,-0.46688272727191,-0.841174521442701,-0.106453640925305
"82","Pryor (AR)","mr pryor","Pryor","AR","D",82,-0.449446268700559,-1.01686662765807,0.136897807112465
