"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"99","Whitehouse (RI)","mr whitehouse","Whitehouse","RI","D",99,-1.12187424204934,-1.58495544984377,-0.666375057648964
"57","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",57,-0.937608475577097,-1.4043033605859,-0.509141058838872
"9","Blumenthal (CT)","mr blumenthal","Blumenthal","CT","D",9,-0.813179453380883,-1.24194897783285,-0.421440631050362
"87","Shaheen (NH)","mrs shaheen","Shaheen","NH","D",87,-0.796968941747823,-1.18025035908056,-0.425498365939504
"39","Hagan (NC)","mrs hagan","Hagan","NC","D",39,-0.791076778096737,-1.22681339366152,-0.387170158150655
"67","Menendez (NJ)","mr menendez","Menendez","NJ","D",67,-0.680163910044201,-1.11509823197537,-0.26837110091482
"72","Murray (WA)","mrs murray","Murray","WA","D",72,-0.677689858016039,-1.04643160978995,-0.331204621841135
"8","Bingaman (NM)","mr bingaman","Bingaman","NM","D",8,-0.674935489525776,-1.22600723350166,-0.161896562610032
"12","Boxer (CA)","mrs boxer","Boxer","CA","D",12,-0.658818065778082,-0.985926569045066,-0.343052083738744
"51","Kerry (MA)","mr kerry","Kerry","MA","D",51,-0.635779360670383,-1.04679451990179,-0.23012995569922
"58","Leahy (VT)","mr leahy","Leahy","VT","D",58,-0.62955645534188,-0.998181233710237,-0.269718323777795
"95","Udall (NM)","mr udall of new mexico","Udall","NM","D",95,-0.62544024796598,-1.15836054232808,-0.104269717325563
"68","Merkley (OR)","mr merkley","Merkley","OR","D",68,-0.619739436280009,-1.12592065438106,-0.14108524585184
"53","Klobuchar (MN)","ms klobuchar","Klobuchar","MN","D",53,-0.607876997306586,-1.03625569272848,-0.193851004454583
"82","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",82,-0.589884005121574,-1.05488004137668,-0.140981147896774
"97","Warner (VA)","mr warner","Warner","VA","D",97,-0.586854402761165,-1.17651781763615,-0.0270757176569161
"40","Harkin (IA)","mr harkin","Harkin","IA","D",40,-0.584431786911187,-1.01326087444491,-0.168662082632967
"19","Casey (PA)","mr casey","Casey","PA","D",19,-0.583130046730893,-1.13774838294459,-0.0344158175664678
"16","Cantwell (WA)","ms cantwell","Cantwell","WA","D",16,-0.561897953817931,-1.0371225830543,-0.101267636502763
"26","Coons (DE)","mr coons","Coons","DE","D",26,-0.556570576248433,-0.970120225829962,-0.145524250792899
"69","Mikulski (MD)","ms mikulski","Mikulski","MD","D",69,-0.551033530834862,-0.961982865080003,-0.148843140227918
"1","Akaka (HI)","mr akaka","Akaka","HI","D",1,-0.549665077672935,-1.0821884732557,-0.0161522337287043
"101","Wyden (OR)","mr wyden","Wyden","OR","D",101,-0.549115163502517,-1.03999491582763,-0.0540269246069842
"36","Gillibrand (NY)","mrs gillibrand","Gillibrand","NY","D",36,-0.548718097566648,-1.02571295302466,-0.068498393257213
"78","Reed (RI)","mr reed","Reed","RI","D",78,-0.54653954330919,-0.989563719729587,-0.101070033988703
