"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"14","Byrd (WV)","mr byrd","Byrd","WV","D",14,-1.20732847912417,-1.76738137519413,-0.637372597467033
"65","Levin (MI)","mr levin","Levin","MI","D",65,-1.04475602333745,-1.54086936499874,-0.549736917077353
"63","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",63,-0.935392130546242,-1.4156485064144,-0.482106030876947
"50","Harkin (IA)","mr harkin","Harkin","IA","D",50,-0.924207431839192,-1.40964708161206,-0.44845963038052
"20","Clinton (NY)","mrs clinton","Clinton","NY","D",20,-0.757421403302372,-1.25924488928233,-0.243019053210651
"52","Hollings (SC)","mr hollings","Hollings","SC","D",52,-0.745462467303922,-1.31899371459923,-0.182905618190859
"86","Schumer (NY)","mr schumer","Schumer","NY","D",86,-0.743348745550679,-1.42903853491682,-0.0531619164002312
"9","Boxer (CA)","mrs boxer","Boxer","CA","D",9,-0.742811685301603,-1.13146289142022,-0.363926482198912
"58","Kennedy (MA)","mr kennedy","Kennedy","MA","D",58,-0.722290679838285,-1.06095807390851,-0.37308380963819
"26","Corzine (NJ)","mr corzine","Corzine","NJ","D",26,-0.693236806419954,-1.15009950708142,-0.244761135737989
"92","Stabenow (MI)","ms stabenow","Stabenow","MI","D",92,-0.668421611619462,-1.15080258995483,-0.192678154785977
"72","Mikulski (MD)","ms mikulski","Mikulski","MD","D",72,-0.618598731272995,-1.09833884745842,-0.142650325368181
"45","Graham (FL)","mr graham of florida","Graham","FL","D",45,-0.520991934191654,-1.05987989829703,0.0371695881240828
"37","Durbin (IL)","mr durbin","Durbin","IL","D",37,-0.51296382757924,-0.861699388379962,-0.167541221997868
"32","Dodd (CT)","mr dodd","Dodd","CT","D",32,-0.501436500837145,-0.923464037285468,-0.0871153351338522
"80","Reed (RI)","mr reed","Reed","RI","D",80,-0.468786393230899,-1.00962462482402,0.122444462412873
"30","Dayton (MN)","mr dayton","Dayton","MN","D",30,-0.458481808564827,-1.026925305926,0.0978158385326854
"60","Kohl (WI)","mr kohl","Kohl","WI","D",60,-0.454629306006934,-0.986524089851735,0.0743790072242974
"57","Johnson (SD)","mr johnson","Johnson","SD","D",57,-0.444774655325725,-1.06223312667738,0.164328828700941
"16","Cantwell (WA)","ms cantwell","Cantwell","WA","D",16,-0.436436780908396,-0.927117916792419,0.0649107894073204
"38","Edwards (NC)","mr edwards","Edwards","NC","D",38,-0.429749358829179,-1.05254391592162,0.201843276707166
"75","Murray (WA)","mrs murray","Murray","WA","D",75,-0.415289896623008,-0.909878590524922,0.0618580631064147
"85","Sarbanes (MD)","mr sarbanes","Sarbanes","MD","D",85,-0.412715258646614,-0.962592470806563,0.142639836379195
"67","Lincoln (AR)","mrs lincoln","Lincoln","AR","D",67,-0.403325801936009,-1.02831688525797,0.261755068868746
"29","Daschle (SD)","mr daschle","Daschle","SD","D",29,-0.364156042056328,-0.731235540494708,-0.00758554596205444
"62","Landrieu (LA)","ms landrieu","Landrieu","LA","D",62,-0.363807622964544,-0.941364109928295,0.210103904039412
"36","Dorgan (ND)","mr dorgan","Dorgan","ND","D",36,-0.363112889394213,-0.774666816193394,0.0478082360249648
"59","Kerry (MA)","mr kerry","Kerry","MA","D",59,-0.326231527234394,-1.05266544452873,0.377436820828325
"66","Lieberman (CT)","mr lieberman","Lieberman","CT","D",66,-0.303333580886859,-0.90194422559251,0.28575772137751
"81","Reid (NV)","mr reid","Reid","NV","D",81,-0.296935638669499,-0.645444143082917,0.0494001692801899
"79","Pryor (AR)","mr pryor","Pryor","AR","D",79,-0.271727652713958,-0.868617005701958,0.346240036736708
"41","Feingold (WI)","mr feingold","Feingold","WI","D",41,-0.266274508356072,-0.728513914821811,0.204140776581946
"76","Nelson (FL)","mr nelson of florida","Nelson","FL","D",76,-0.251291934438406,-0.958784183424046,0.454831467270053
"73","Miller (GA)","mr miller","Miller","GA","D",73,-0.212950073695547,-1.09202377244516,0.656605079721412
"17","Carper (DE)","mr carper","Carper","DE","D",17,-0.20884973692138,-0.88468828546712,0.448520706746882
"55","Inouye (HI)","mr inouye","Inouye","HI","D",55,-0.192871453729682,-0.872309836036679,0.539229732149694
"8","Bingaman (NM)","mr bingaman","Bingaman","NM","D",8,-0.131508738316166,-0.62247780029056,0.354468552027469
"5","Bayh (IN)","mr bayh","Bayh","IN","D",5,-0.117307276282051,-0.871998393208264,0.674870196189727
"56","Jeffords (VT)","mr jeffords","Jeffords","VT","I",56,-0.0786262661101509,-0.664127012695587,0.502052532621839
"42","Feinstein (CA)","mrs feinstein","Feinstein","CA","D",42,-0.074763535550299,-0.565407488546388,0.462233190995374
"98","Warner (VA)","mr warner","Warner","VA","D",98,-0.0635905034624518,-0.602195128667451,0.450683132077672
"83","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",83,-0.0532230789218789,-0.572786724452425,0.472015333174498
"4","Baucus (MT)","mr baucus","Baucus","MT","D",4,-0.0480328874571989,-0.472635423782525,0.387185371644589
"93","Stevens (AK)","mr stevens","Stevens","AK","R",93,-0.0334455689739044,-0.602791930336354,0.488441439817951
"64","Leahy (VT)","mr leahy","Leahy","VT","D",64,-0.0270923571797653,-0.478287651571577,0.42019014285632
"99","Wyden (OR)","mr wyden","Wyden","OR","D",99,-0.0237840091749167,-0.668686176444015,0.643549787828625
"7","Biden (DE)","mr biden","Biden","DE","D",7,0.00899678808820194,-0.609426174967213,0.660591650589995
"1","Akaka (HI)","mr alexander","Akaka","HI","D",1,0.0120132722005164,-0.588840481291334,0.622055840073706
"77","Nelson (NE)","mr nelson of nebraska","Nelson","NE","D",77,0.0601480756634459,-0.648391402028442,0.793232694017087
"24","Conrad (ND)","mr conrad","Conrad","ND","D",24,0.0865376062722656,-0.380589845871858,0.572001579358217
"31","DeWine (OH)","mr dewine","DeWine","OH","R",31,0.165184431005203,-0.332101985511964,0.625311721381889
"27","Craig (ID)","mr craig","Craig","ID","R",27,0.224020226628472,-0.245950589907547,0.652148542220908
"21","Cochran (MS)","mr cochran","Cochran","MS","R",21,0.240472236141848,-0.290383154553831,0.719135369033277
"10","Breaux (LA)","mr breaux","Breaux","LA","D",10,0.254309583775654,-0.510057040086651,1.06905977477644
"90","Snowe (ME)","ms snowe","Snowe","ME","R",90,0.335121694496753,-0.188390057661654,0.803318647380716
"74","Murkowski (AK)","ms murkowski","Murkowski","AK","R",74,0.345541699910885,-0.471043850919495,1.02298992888375
"23","Collins (ME)","ms collins","Collins","ME","R",23,0.387359386739685,-0.109780420994003,0.814863709861985
"54","Inhofe (OK)","mr inhofe","Inhofe","OK","R",54,0.398888369392418,-0.080990283168057,0.840048272530816
"46","Graham (SC)","mr graham of south carolina","Graham","SC","R",46,0.402817745449455,-0.151773712073922,0.912137031670728
"40","Enzi (WY)","mr enzi","Enzi","WY","R",40,0.403209405922282,-0.0465518685390413,0.823790855387376
"39","Ensign (NV)","mr ensign","Ensign","NV","R",39,0.414722206133882,-0.0119036005251742,0.822513789454785
"89","Smith (OR)","mr smith","Smith","OR","R",89,0.435254146467558,-0.0851241847322614,0.907722031793604
"15","Campbell (CO)","mr campbell","Campbell","CO","R",15,0.437323303227998,-0.19885168852799,1.01394265958934
"96","Thomas (WY)","mr thomas","Thomas","WY","R",96,0.443295478737401,-0.0226286911218887,0.897172330205024
"18","Chafee (RI)","mr chafee","Chafee","RI","R",18,0.4632550142302,-0.138603300733778,1.03023703606891
"94","Sununu (NH)","mr sununu","Sununu","NH","R",94,0.474275567312071,-0.0740791316405406,1.00847846640745
"35","Domenici (NM)","mr domenici","Domenici","NM","R",35,0.526493545106531,0.144645012561907,0.911999567169793
"28","Crapo (ID)","mr crapo","Crapo","ID","R",28,0.52836576938291,-0.0224171802256797,1.07376576367528
"84","Santorum (PA)","mr santorum","Santorum","PA","R",84,0.537403601783363,0.0854800720555772,0.970803596743322
"49","Hagel (NE)","mr hagel","Hagel","NE","R",49,0.546054874940936,-0.00843469520050021,1.10480459752397
"33","Dole (CT)","mr dole","Dole","CT","R",33,0.548686536588472,-0.109215675192931,1.22404723961791
"44","Frist (TN)","mr frist","Frist","TN","R",44,0.554258689351472,0.189165287067195,0.926544410987065
"87","Sessions (AL)","mr sessions","Sessions","AL","R",87,0.557110622439673,0.183787563250213,0.941635793006842
"3","Allen (VA)","mr allen","Allen","VA","R",3,0.563351631413488,0.0360643522767809,1.10279772657425
"68","Lott (MS)","mr lott","Lott","MS","R",68,0.576598352854817,0.111439962550214,1.04984797632187
