"ideal.est","ideal.prec","ideal.lo","ideal.hi","theta.est","theta.prec","theta.lo","theta.hi","cf.est","name","state","party","col","female","presvoteshare","ideal.norm","theta.norm","cf.norm","thetaD1","thetaD2","thetaD1.norm","thetaD2.norm"
0.777678179257647,674.203917173829,0.70364885605931,0.851134119721008,0.250916101698646,32.3384492203643,-0.108527683586237,0.599768635646613,0.841018783800049,"Abraham (MI)","MI","R","#FF0000",0,0.450286604072543,-0.492592095054061,-0.361852538818527,0.0861948602216066,0.410265940856953,0.373294858206508,-0.0236930362248396,0.739591817635602
-1.49060801467879,455.978446623846,-1.58137856716551,-1.40570137971959,-0.619385510087163,45.6498031996206,-0.920867744729597,-0.327593373491061,-0.781408769221349,"Akaka (HI)","HI","D","#0000FF",0,0.353589059057723,-0.698408755789431,-0.522927919850338,0.111105447857281,-0.403855398999263,0.765211537867994,-0.0163239278915454,1.62722463429927
0.789434076710292,1782.48552466745,0.7393900176246,0.833634247024264,0.78603490368097,59.5261419514796,0.541972113774178,1.04348716487239,0.883753957213559,"Alexander (TN)","TN","R","#FF0000",0,0.551688426453415,-0.470961885710342,1.03805733200113,0.238717586174709,0.733451103864921,-0.248551576916166,0.899440413476268,-0.867375889287641
1.56608233735285,392.594012178506,1.47504391972589,1.66862710474826,0.422294141177451,41.9676719149093,0.125498428790629,0.721969027490385,0.975629977297945,"Allard (CO)","CO","R","#FF0000",0,0.500620716869595,0.958028502459038,0.0864849298320793,0.56662501964642,0.534393001442359,0.570036761679453,0.330858641126264,1.24800976075248
0.981780652295933,464.974862941398,0.89207454729975,1.07595201257969,0.558588336298961,14.4474439315248,0.0354243157953585,1.06246698786336,0.966838778322065,"Allen (VA)","VA","R","#FF0000",0,0.508383132863076,-0.11705469034526,0.443040499135969,0.53524904699684,0.556615898428438,0.11119211205202,0.394335254242334,0.0622692100322116
1.54280710844494,172.959155339874,1.40287881117617,1.6934506561624,0.705777132377666,20.2633078377032,0.278315933694722,1.12582983368013,1.01816009750118,"Ashcroft (MO)","MO","R","#FF0000",0,0.513261739497638,0.915203352288332,0.82809714028058,0.718415906411836,0.831003464395143,0.368325903160382,1.1780851577603,0.726751106737737
0.857205253685774,783.204358493079,0.786252549194395,0.926130403085555,0.603018519666079,12.0615971270398,0.0416920827618044,1.1763589592787,0.902165429413039,"Ayotte (NH)","NH","R","#FF0000",1,0.473329104631961,-0.34626662094175,0.559273103984735,0.304428514769811,0.618745874908433,0.0727596996817623,0.571800887206469,-0.0370473448113945
-1.66074201182685,22.2600880984956,-2.12239393354967,-1.30118081787463,-1.13223308716122,6.29039716282451,-1.89366873862414,-0.333211992793405,-1.60608288700431,"Baldwin (WI)","WI","D","#0000FF",1,0.466509647060864,-1.10051961152133,-1.80313132615549,-2.03442474723054,-1.13573365453189,0.0587345291691502,-1.9055503967582,-0.0177524852075483
0.116703998173557,9.01461727978658,-0.494967139846216,0.819786684681713,0.116595413229583,1.06970901291072,-1.92497852018311,1.84693385823269,NA,"Barkley (MN)","MN","I","#00FF00",0,0.456805374353308,0.961090900844732,1.06549213821889,NA,0.113715939372304,-0.198994024752949,1.09001525961357,0.751623962722416
1.38891840337277,566.575613504368,1.31161174292016,1.47582640185129,0.763248608926627,48.7584525069929,0.489059769352275,1.06247775796071,0.870032976638066,"Barrasso (WY)","WY","R","#FF0000",0,0.673011167230004,0.632056538550502,0.97844672062317,0.189747120093433,0.755195414856653,-0.214281612701208,0.961550012290606,-0.778815880416658
-0.70497931853369,1986.71810731732,-0.749438813124282,-0.662060114668187,0.165480084607571,116.847514494879,-0.012435420272408,0.342259854351413,-0.469513704733087,"Baucus (MT)","MT","D","#0000FF",0,0.568218763948963,1.1584207585346,1.43630451632988,0.922553587344719,0.173522422882418,0.0625734059537884,1.47408442266345,-0.00881395727588042
-0.732059692744113,1015.02243608131,-0.793957256179523,-0.672765949581189,-0.526894395601385,9.64364320004286,-1.16443240149917,0.0965664592092863,-0.548820052886542,"Bayh (IN)","IN","D","#0000FF",0,0.552510172578471,1.09441642883078,-0.292045597088471,0.716224613321836,-0.359586182670347,0.680495879631905,0.0979499620790029,1.42997077076735
-0.873024685843667,405.764187079187,-0.97408783525743,-0.7823886610397,-0.760254563543479,21.8755236912788,-1.16341839480411,-0.349833581840203,-1.16627143065191,"Begich (AK)","AK","D","#0000FF",0,0.619943618897934,0.761246369032721,-0.874574393655785,-0.890180324613689,-0.692831002693167,0.386234309596216,-0.762268154582548,0.744805444934068
-0.798083304633535,526.96442536998,-0.890686790841451,-0.714980033294963,-0.242214968853363,24.1434987091778,-0.660029715555594,0.132658905413589,-1.18200009586993,"Bennet (CO)","CO","D","#0000FF",0,0.500620716869595,0.93836995064064,0.418589663990653,-0.931101126450434,-0.227293644938336,0.170654257691078,0.439441954807995,0.242843953704262
0.814919102878142,1645.2283986247,0.764553382938016,0.863127174986921,0.613669132911382,39.734131881715,0.322840841211077,0.919334819256341,0.639018984046286,"Bennett (UT)","UT","R","#FF0000",0,0.69248796535718,-0.424070829254524,0.587135886150394,-0.634746641578521,0.442446981569747,-0.684213803478387,0.0682276288566851,-1.99320871499751
-1.06427644417805,805.969091483082,-1.13306999104922,-0.995773458293285,0.166691434877403,54.0184050759209,-0.0929444777148787,0.438924077186347,-0.7923810191735,"Biden (DE)","DE","D","#0000FF",0,0.417439357535767,0.309223789811577,1.43932836749149,0.0825592705579635,-0.00502244864687131,-0.435185426856254,1.01319943991717,-1.16780693358373
