"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"37","Dorgan (ND)","mr dorgan","Dorgan","ND","D",37,-1.24040862167844,-1.79295291529557,-0.66518587871809
"11","Boxer (CA)","mrs boxer","Boxer","CA","D",11,-0.896395429247522,-1.34475123770697,-0.462488502666015
"74","Murray (WA)","mrs murray","Murray","WA","D",74,-0.813024865221487,-1.30133659411064,-0.357118580120861
"16","Byrd (WV)","mr byrd","Byrd","WV","D",16,-0.809217187433108,-1.28309048043997,-0.353589340289991
"38","Durbin (IL)","mr durbin","Durbin","IL","D",38,-0.770042185949241,-1.10867364158262,-0.439434129129893
"92","Stabenow (MI)","ms stabenow","Stabenow","MI","D",92,-0.718214275656179,-1.22087564462396,-0.221913754336266
"55","Johnson (SD)","mr johnson","Johnson","SD","D",55,-0.68302902004897,-1.16411128865788,-0.22620393275644
"52","Inouye (HI)","mr inouye","Inouye","HI","D",52,-0.677114945084927,-1.28508232128682,-0.0815121516123602
"72","Mikulski (MD)","ms mikulski","Mikulski","MD","D",72,-0.669171052808305,-1.13772158449937,-0.216077100330078
"61","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",61,-0.652537977902049,-1.13482342893785,-0.185115915016193
"65","Lincoln (AR)","mrs lincoln","Lincoln","AR","D",65,-0.633662276485972,-1.13765060006599,-0.134721951049994
"18","Carper (DE)","mr carper","Carper","DE","D",18,-0.601607962318601,-1.12072367851992,-0.121577525604638
"6","Bayh (IN)","mr bayh","Bayh","IN","D",6,-0.572695413538886,-1.27743816372676,0.0880654293799287
"101","Wyden (OR)","mr wyden","Wyden","OR","D",101,-0.570120164881787,-1.09352444388103,-0.0439852414789128
"17","Cantwell (WA)","ms cantwell","Cantwell","WA","D",17,-0.566824252755774,-1.14062560359229,-0.0098782196828565
"75","Nelson (FL)","mr nelson of florida","Nelson","FL","D",75,-0.534101082618804,-1.1456477550608,0.0677317083411664
"62","Leahy (VT)","mr leahy","Leahy","VT","D",62,-0.520729300864053,-0.884115001629573,-0.143019096914006
"85","Sarbanes (MD)","mr sarbanes","Sarbanes","MD","D",85,-0.514987534345562,-1.06772928025054,0.0499786342560595
